CancerType,risk,Ncell,Nstem,msc,StemLifetimeDivisions,TotalStemDiv
Myeloid_leukemia,0.0041,3000000000000,135000000,12,960,130000000000
Basal_cell,0.3,180000000000,5820000000,7.6,608,3550000000000
Lymph_leukemia,0.0052,3000000000000,135000000,12,960,130000000000
Colorectal,0.048,30000000000,200000000,73,5840,1170000000000
Colorectal_FAP,1,30000000000,200000000,73,5840,1170000000000
Colorectal_Lynch,0.5,30000000000,200000000,73,5840,1170000000000
Duodenal,0.0003,680000000,4000000,24,1947,7800000000
Duodenal_FAP,0.035,680000000,4000000,24,1947,7770000000
Esophageal,0.001938,3240000000,6650000,33.18,2654.6,2290000000
Gallbladder,0.0028,160000000,1600000,0.584,47,78400000
Glioblastoma,0.00219,84600000000,135000000,0,0,270000000
Head&Neck,0.0138,16700000000,18500000,21.5,1720,31900000000
Head&Neck_HPV,0.07935,16700000000,18500000,21.5,1720,31800000000
Hepatocellular,0.0071,241000000000,3010000000,0.9125,88,271000000000
Hepatocellular_HCV,0.071,241000000000,3010000000,0.9125,88,271000000000
Lung,0.0045,434000000000,1220000000,0.07,5.6,9270000000
Lung_Smoker,0.081,434000000000,1220000000,0.07,5.6,9270000000
Medulloblastoma,0.00011,85000000000,136000000,0,0,272000000
Melanoma,0.0203,3800000000,3800000000,2.48,199,764000000000
Osteosarcoma,0.00035,1900000000,4180000,0.067,5,29300000
Osteosarcoma_Arms,0.00004,300000000,650000,0.067,5,4550000
Osteosarcoma_Head,0.0000302,390000000,860000,0.067,5,6020000
Osteosarcoma_Legs,0.00022,720000000,1590000,0.067,5,11100000
Osteosarcoma_Pelvis,0.00003,200000000,450000,0.067,5,3150000
Ovarian,0.000411,11000000,11000000,0,0,22000000
Pancreatic_Ductal,0.013589,167000000000,4180000000,1,80,343000000000
Pancreatic_Endocrine,0.000194,2950000000,74000000,1,80,6070000000
Small_Intestine,0.0007,17000000000,100000000,36,2920,292000000000
Testicular,0.0037,21600000000,7200000,5.8,463,3350000000
Thyroid_Papillary,0.01026,10000000000,65000000,0.087,7,585000000
Thyroid_Medullary,0.000324,10000000000,6500000,0.087,7,58500000
Breast,0.092283,680000000000,8700000000,4.32,345.6,3010000000000
Prostate,0.13712,30000000000,210000000,3,240,7200000000000
